,V1
AC008734.2,0
ZNF177,0
UBE2L4,0
LDLR,0
AC008758.4,0
MAST1,0
NACC1,0
LINC01841,0
DNAJB1,0
MIR639,0
AC005776.1,0
ANKLE1,0
AC010319.4,0
FAM129C,0
MIR3188,0
CILP2,0
AC008739.1,0
RPL36AP51,0
AC010615.2,0
VN1R85P,0
ZNF676,0
ZNF98,0
AC025811.1,0
AC092279.2,0
MAG,0
LIN37,0
ZNF383,0
KCNK6,0
RASGRP4,0
ERVK9.11,0
FBXO17,0
IFNL3,0
EGLN2,0
AC008537.3,0
AC010247.2,0
TMEM145,0
CXCL17,0
RN7SL368P,0
AC006213.7,0
AC092072.1,0
BCAM,0
BHMG1,0
FKRP,0
AC010519.1,0
BICRA,0
AC011466.4,0
AC022154.1,0
RRAS,0
KCNC3,0
AC018755.5,0
ZNF350.AS1,0
AC011487.2,0
AC008735.2,0
AC006116.5,0
AC006116.3,0
ZNF582.AS1,0
ZNF667,0
VN1R107P,0
ZNF8,0
ERVK3.1,0
AC012078.2,0
AC004461.2,0
CLTCL1,0
AC000068.3,0
SEPT5,0
GNB1L,0
AC006547.2,0
PI4KA,0
LZTR1,0
P2RX6P,0
AP000550.1,0
RIMBP3C,0
AC245060.5,0
GNAZ,0
FBXW4P1,0
CES5AP1,0
GSTT4,0
CRYBB2,0
C22orf31,0
AC002059.1,0
ASCC2,0
HORMAD2,0
RNF215,0
PIK3IP1.AS1,0
DEPDC5,0
Z83844.1,0
CBX7,0
AL022326.2,0
MGAT3.AS1,0
RNU6.379P,0
AL023553.1,0
Z83840.1,0
NDUFA6,0
CYP2D8P,0
TCF20,0
ATP5MGL,0
ATXN10,0
PPARA,0
SELENOO,0
CBSL,0
MIR155HG,0
RWDD2B,0
BACH1.IT1,0
BACH1.AS1,0
LINC00159,0
MIS18A.AS1,0
URB1,0
C21orf59.TCP10L,0
C21orf62.AS1,0
C21orf62,0
IL10RB.DT,0
CBS,0
MT.RNR2,0
MT.TY,0
AC093151.2,0
DNASE2B,0
AC239859.6,0
SPRR2D,0
BX470102.1,0
AC009486.2,0
BBIP1P1,0
AC112229.2,0
MYO7B,0
AC016766.1,0
AC007405.4,0
AC124862.1,0
AC007106.1,0
COX7B2,0
LINC02469,0
AC099340.1,0
HSP90AA4P,0
CARTPT,0
AC016598.2,0
GGNBP1,0
AL034348.1,0
VNN1,0
NOX3,0
AC004012.1,0
SPANXC,0
AL451137.1,0
MORN5,0
AP000439.3,0
AP003486.2,0
PPIAP13,0
AL158166.1,0
LINC01166,0
AC007406.4,0
AC008115.2,0
PSMC1P9,0
CPNE6,0
AC019294.1,0
LINC02127,0
CTRB1,0
RPL15P21,0
EVPLL,0
AC024614.1,0
KCNH4,0
LINC01497,0
AP001021.3,0
RBPJL,0
AC008991.1,0
AC002115.1,0
AC067968.2,0
AC005498.1,0
AP001062.2,0
CICP27,0
MTATP8P1,0
TTLL10.AS1,0
LINC01786,0
AL139287.1,0
AL109917.1,0
AL590438.1,0
WRAP73,0
AL031847.1,0
KLHL21,0
AL359881.1,0
BX323043.1,0
TMEM201,0
AL139423.2,0
MASP2,0
AL590989.1,0
AL953897.1,0
RF00019.3,0
AL121992.3,0
AL121992.2,0
SLC25A34,0
AL355994.3,0
ANO7L1,0
AL137802.3,0
CROCC,0
MST1L,0
BX284668.4,0
AL049569.2,0
AL136529.1,0
PINK1.AS,0
HSPE1P27,0
AL031005.2,0
CELA3B,0
AL591122.1,0
RNU6.135P,0
AL445686.1,0
AL355877.3,0
SFN,0
ACTG1P20,0
AL031729.1,0
SCARNA1,0
RNU6ATAC27P,0
TRNAU1AP,0
AL136115.1,0
AL020995.1,0
AL662907.1,0
DLGAP3,0
FTH1P1,0
INPP5B,0
AL139158.2,0
AL139158.1,0
AL513479.1,0
AL139260.3,0
BMP8A,0
AL031985.3,0
AL603839.2,0
AC093151.3,0
EDN2,0
CCDC30,0
AL445669.1,0
TMEM269,0
AL512353.1,0
ZNF691,0
SLC2A1.AS1,0
FAM183A,0
CCDC24,0
RNU5F.1,0
RPS15AP11,0
AL122001.1,0
TEX38,0
CYP4A22,0
FOXE3,0
FOXD2.AS1,0
AL356289.1,0
RNU4.61P,0
TTC39A,0
AC104170.2,0
SLC25A6P3,0
AL050343.2,0
TUT4,0
AC099677.4,0
AL606760.2,0
RF00418,0
CDCP2,0
MROH7,0
AL390243.1,0
BX004807.1,0
ROR1.AS1,0
C1orf141,0
AL389925.1,0
RNU6.387P,0
LRRC40,0
AL353771.1,0
KRT8P21,0
FPGT.TNNI3K,0
LHX8,0
AC103591.1,0
AL353651.1,0
ADH5P2,0
AC098657.2,0
RPL7P10,0
RN7SKP247,0
HNRNPA3P14,0
AL138799.1,0
AL138799.4,0
AL359504.2,0
RF00019.27,0
AC093155.2,0
GBP5,0
PRKAR1AP1,0
SNORA66,0
RN7SL440P,0
LINC02607,0
LINC01776,0
PALMD,0
BCAS2P2,0
S1PR1,0
SEPT2P1,0
AL359258.3,0
SLC25A24P1,0
AL591719.1,0
AL356488.2,0
AL355310.1,0
AL355310.2,0
AC000032.1,0
KCNA3,0
NRBF2P3,0
PGCP1,0
AL390195.2,0
UBE2FP3,0
KRT18P57,0
LINC01649,0
ATP1A1.AS1,0
HSD3BP4,0
HSD3BP5,0
AL592494.2,0
RNU1.92P,0
PFN1P6,0
GNRHR2,0
HJV,0
AC241644.3,0
PFN1P4,0
AC245100.2,0
AC239804.1,0
ANP32E,0
RF00015,0
GABPB2,0
PI4KB,0
POGZ,0
AL589765.3,0
FLG,0
PGLYRP4,0
S100A15A,0
RPSAP17,0
AL606500.1,0
AL353807.1,0
SNORA80E,0
AL365181.1,0
AL365181.4,0
KIRREL1.IT1,0
AL138899.1,0
OR10K1,0
SPTA1,0
MNDA,0
VSIG8,0
IGSF9,0
KCNJ9,0
RPL31P11,0
AL391825.1,0
AL450163.1,0
AL499616.1,0
AL357568.2,0
AL626787.1,0
AL596087.1,0
CD247,0
RCSD1,0
AL031726.1,0
Z99572.1,0
RN7SL333P,0
MRPS10P1,0
LINC01681,0
AL031864.2,0
RNU6.157P,0
AL645568.3,0
RNA5SP68,0
RC3H1.IT1,0
GPR52,0
AL513329.1,0
AL136114.1,0
SOAT1,0
HMGN1P4,0
AL449223.1,0
APOBEC4,0
AL078644.2,0
AL078644.1,0
AL359081.2,0
AL359081.1,0
AL513175.1,0
RGS2,0
CFHR3,0
CFHR2,0
SEPT14P12,0
ATP6V1G3,0
CACNA1S,0
RNU6.501P,0
CHIT1,0
FMOD,0
OPTC,0
AL592146.2,0
AL592114.3,0
AL512306.2,0
AC096675.1,0
AL583832.1,0
LEMD1.AS1,0
RHEX,0
AC244034.2,0
YOD1,0
CR2,0
CDCA4P3,0
RPS26P13,0
MIR205HG,0
ARPC3P2,0
LPGAT1.AS1,0
AL360091.1,0
AC104333.3,0
SMYD2,0
AL929236.1,0
UBE2V1P13,0
AC096638.1,0
AL360093.1,0
SNORA36B,0
HDAC1P2,0
LINC01352,0
AL592148.1,0
AC092809.3,0
AC096537.2,0
AL596330.2,0
TMEM63A,0
ITPKB.IT1,0
AL353593.2,0
HIST3H2A,0
TMEM78,0
RNA5SP78,0
AL122008.1,0
AL583844.1,0
LYST.AS1,0
CHRM3,0
AL358176.1,0
AL358176.4,0
KMO,0
AL133390.1,0
WDR64,0
CFL1P4,0
AKT3,0
BX323046.1,0
EFCAB2,0
AC104462.1,0
AC092801.1,0
AL591848.3,0
KIF28P,0
OR2M3,0
OR2G6,0
AL672291.1,0
LINC01874,0
AC116609.1,0
AC114810.1,0
COLEC11,0
LINC01247,0
AC068481.1,0
AC080162.1,0
YWHAQ,0
AC010969.1,0
RF00432.2,0
ATP6V1C2,0
AC092687.3,0
LINC01804,0
AC010145.1,0
AC008069.1,0
AC010096.1,0
HS1BP3.IT1,0
AC018467.1,0
ATAD2B,0
PGAM1P6,0
AC066692.1,0
SDHCP3,0
MFSD2B,0
AC009228.1,0
TPM3P7,0
AC013472.1,0
EMILIN1,0
ZNF512,0
AC104695.2,0
AC104695.4,0
ALK,0
AC106870.1,0
AC109642.1,0
AL133245.1,0
GPATCH11,0
RF00272.2,0
RNU6.137P,0
LINC02590,0
ZFP36L2,0
AC013717.1,0
AC009236.1,0
LINC02583,0
AC073283.3,0
AC073283.1,0
EPCAM.DT,0
AC073283.2,0
MIR559,0
AC139712.3,0
CCDC85A,0
LINC01185,0
RNU4.51P,0
AC016747.4,0
AC107083.1,0
AC092567.2,0
AC009501.3,0
AC096664.1,0
AC007365.1,0
MEIS1.AS3,0
LINC01797,0
FIGLA,0
VAX2,0
AC007040.2,0
OR7E62P,0
EMX1,0
AC074008.1,0
DGUOK.AS1,0
AC006030.1,0
AC005041.1,0
AC012494.2,0
AC008067.1,0
AC105342.1,0
AC093162.1,0
RN7SL113P,0
RF00019.96,0
RNF103,0
CD8A,0
AC092651.1,0
AC083899.2,0
AC104134.1,0
AC062029.1,0
FAHD2CP,0
RF00017.21,0
AC159540.2,0
AC092683.2,0
VWA3B,0
LINC01965,0
LINC01102,0
RPL22P10,0
AC114755.2,0
LINC01886,0
SULT1C2,0
AC226101.1,0
FBLN7,0
AC012442.1,0
AC016745.2,0
AC110769.1,0
RF00012.5,0
AC092170.1,0
LINC01956,0
MTND4P26,0
AC018737.1,0
AC097499.1,0
AC012508.1,0
RNY4P7,0
RHOQP3,0
AC131180.1,0
AC093838.2,0
AJ239322.2,0
YBX1P7,0
RNA5SP104,0
THSD7B,0
AC114763.2,0
SPOPL,0
AC117947.1,0
AC105402.4,0
FAM8A3P,0
AC104777.1,0
AC009227.1,0
RN7SL393P,0
GSTM3P2,0
AC008063.2,0
AC009495.2,0
PHOSPHO2,0
AC009967.1,0
OLA1,0
AC018470.1,0
CHRNA1,0
LINC01116,0
AC074286.1,0
AC009962.1,0
RF00019.119,0
KRT8P10,0
AC021851.1,0
AC093639.3,0
AC017101.1,0
AC104131.1,0
ASDURF,0
AC006460.2,0
AC005540.1,0
MYO1B,0
C2orf69,0
RF00019.120,0
ALS2,0
WDR12,0
AC010900.1,0
RN7SL670P,0
CD28,0
FASTKD2,0
AC009226.1,0
AC006994.2,0
LINC01953,0
AC068051.1,0
AC093850.1,0
AC069155.1,0
DIRC3,0
AC010886.1,0
PRKAG3,0
KRT8P30,0
AC009955.3,0
ACSL3,0
AP1S3,0
AGFG1,0
FBXO36.IT1,0
SP100,0
LINC01907,0
RNU6.268P,0
SPATA3,0
AC068134.3,0
PRSS56,0
TIGD1,0
SCARNA6,0
UGT1A1,0
SPP2,0
IQCA1.AS1,0
AC112715.1,0
RBM44,0
AC124861.1,0
CAPN10.DT,0
AGXT,0
AC005104.2,0
LINC01237,0
LINC01238.1,0
CHL1,0
ITPR1.DT,0
GRM7.AS1,0
AC034187.1,0
AC022001.2,0
TAMM41,0
FANCD2P2,0
ACTG1P12,0
HDAC11,0
LINC00620,0
LINC02011,0
IMPDH1P8,0
PDCL3P3,0
PP2D1,0
RPL39P18,0
AC099753.1,0
AC114477.1,0
NEK10,0
LINC01967,0
AC098650.1,0
CNOT10.AS1,0
ARPP21,0
RNU6.1301P,0
C3orf35,0
OXSR1,0
AC092053.3,0
AC092058.1,0
EIF1B.AS1,0
AC099541.2,0
ULK4,0
RF00096.3,0
NKTR,0
AC006059.1,0
AC006059.2,0
CCDC13,0
AC092042.2,0
POMGNT2,0
RN7SL517P,0
MIR564,0
LRRC2.AS1,0
BOLA2P2,0
SNRPFP4,0
RF00019.144,0
SPINK8,0
PRKAR2A.AS1,0
CCDC36,0
AC121247.1,0
BSN.AS1,0
AMIGO3,0
ACTBP13,0
CISH,0
DUSP7,0
PBRM1,0
AC006254.1,0
PDHA1P1,0
HTD2,0
PXK,0
AC135507.2,0
RF00017.30,0
RN7SL863P,0
THOC7.AS1,0
AC096888.1,0
ILF2P1,0
RN7SL482P,0
HMGB1P36,0
AC097634.2,0
GPR27,0
RYBP,0
GXYLT2,0
FTH1P23,0
OR7E55P,0
AC099542.1,0
SETP6,0
CYP51A1P1,0
HNRNPKP4,0
AC020651.1,0
MTND4P16,0
AC063944.3,0
AC117430.1,0
GCSAM,0
AC112487.2,0
AC092692.1,0
CD200R1,0
ZBTB20.AS5,0
YBX1P3,0
RNU5E.8P,0
AC092691.3,0
LRRC58,0
KPNA1,0
OSBPL11,0
AC079848.1,0
AC079848.2,0
KLF15,0
LINC01565,0
AC108673.2,0
FAM86HP,0
LINC02021,0
COL6A6,0
AC107027.1,0
RNU6.678P,0
AC026117.1,0
AC072039.2,0
RAD51AP1P1,0
GAPDHP39,0
FOXL2,0
AC046134.1,0
AC121333.1,0
AC108727.1,0
PXYLP1,0
RN7SKP25,0
AC021074.3,0
PBX2P1,0
SLC9A9,0
AC092979.1,0
HLTF.AS1,0
AC022494.1,0
MINDY4B,0
RNA5SP145,0
P2RY13,0
RN7SL300P,0
C3orf79,0
DDX50P2,0
AC080013.4,0
AC080013.2,0
AC080013.5,0
ARL14,0
NMD3,0
AC112770.1,0
AC084017.1,0
AC078795.2,0
SAMD7,0
KRT8P13,0
LINC02068,0
RN7SKP234,0
AC125618.1,0
AC092953.1,0
MCCC1.AS1,0
RF01241,0
ABCC5,0
AC107294.1,0
IGF2BP2,0
RF00017.36,0
AC112907.1,0
AC072022.1,0
AC092941.2,0
OSTN,0
AC080129.2,0
LINC02048,0
RN7SL36P,0
MIR570,0
RN7SL434P,0
AC024560.2,0
AC024560.4,0
ZNF732,0
AC092574.2,0
AC092574.1,0
SLC26A1,0
TMED11P,0
AL121750.1,0
EVC,0
MAN2B2,0
CCDC96,0
SORCS2,0
AC105345.2,0
FAM90A26,0
AC097493.1,0
ENPP7P11,0
AC098976.1,0
AC110768.2,0
LINC02360,0
LINC01182,0
AC007126.1,0
RN7SKP170,0
AC006427.1,0
AC104656.1,0
KRT18P63,0
AC098583.1,0
LINC02357,0
AC116611.1,0
AC093878.1,0
AC016687.2,0
AC104078.1,0
RELL1,0
TLR1,0
AC079921.1,0
ZBTB12BP,0
ARL4AP2,0
NIPAL1,0
SNORA26,0
AC023154.1,0
GSX2,0
RF00019.192,0
PDCL2,0
RF00017.38,0
AC105390.1,0
AC093725.2,0
LINC02494,0
LINC02429,0
AC116049.1,0
UGT2B10,0
AC021146.12,0
HTN3,0
AFM,0
LINC02499,0
EREG,0
AC110760.3,0
CDKL2,0
AC112719.2,0
SHROOM3,0
SOWAHB,0
RPL7P17,0
AC104771.1,0
MICOS10P4,0
AC098818.1,0
RF00072.1,0
THAP9,0
RF00019.199,0
AC073840.1,0
AC114781.4,0
AC104827.1,0
CHCHD2P7,0
PKD2,0
AC097478.3,0
MTND1P19,0
AC020699.1,0
HPGDS,0
COX7A2P2,0
C4orf17,0
AC097460.3,0
LRRC37A15P,0
DDX3P3,0
TET2.AS1,0
AC105391.1,0
TBCK,0
GIMD1,0
AC096564.2,0
ETNPPL,0
CDC42P4,0
RRH,0
AC139718.1,0
AP1AR,0
AC023886.2,0
KRT18P21,0
AC093765.4,0
NDST3,0
KLHL2P1,0
SETP12,0
AC105254.1,0
AC079341.2,0
AC097462.3,0
AC078850.1,0
JADRR,0
GAPDHP56,0
SNHG27,0
AC104619.1,0
AC018680.1,0
LINC02511,0
AC105416.1,0
AC098859.2,0
RF00017.39,0
AC112236.3,0
AC107220.1,0
AC097658.3,0
GYPE,0
SMAD1.AS2,0
AC092435.3,0
AC092612.1,0
AC104819.2,0
AC104819.3,0
RN7SKP35,0
FBXW7.AS1,0
RF00019.213,0
AC079298.1,0
PDGFC,0
RF00012.13,0
AC112247.1,0
TRIM60P14,0
AC106872.12,0
TMEM192,0
AADAT,0
AC093849.1,0
LINC02269,0
RNU2.34P,0
ENPP6,0
IRF2,0
LINC02427,0
AC093824.1,0
LRP2BP,0
AC108073.3,0
AC108073.1,0
AC108073.2,0
DBET,0
EXOC3,0
LSINCT5,0
MTCO1P31,0
LINC02196,0
LINC02123,0
LINC02199,0
SEMA5A.AS1,0
LINC02112,0
AC012640.1,0
RBBP4P1,0
DCAF13P2,0
RN7SL58P,0
AC026433.1,0
AC022417.1,0
AC022447.1,0
NPR3,0
RNU6.923P,0
AC025754.2,0
RANBP3L,0
AC008957.3,0
NIPBL.DT,0
PTGER4,0
AC108099.1,0
AC106800.2,0
EEF1A1P19,0
AC114956.2,0
AMD1P3,0
AC114954.1,0
LINC02105,0
AC034238.1,0
HNRNPH1P3,0
AC008892.1,0
LINC01948,0
C5orf67,0
RPL5P15,0
AC008498.2,0
LINC02057,0
DIMT1,0
AC114982.1,0
RPEP1,0
SGTB,0
AC025442.1,0
AC008459.1,0
LINC02219,0
AC010280.1,0
CHCHD2P2,0
AC140134.1,0
AC146944.2,0
AC145138.1,0
LINC02056,0
AC020893.2,0
UTP15,0
AC016559.2,0
KRT18P45,0
RPS27AP9,0
DBIP2,0
AC026427.2,0
AC010598.1,0
AC008885.1,0
AC010486.1,0
LINC02488,0
AC113167.1,0
MIR3660,0
LINC01339,0
AC123595.1,0
POLD2P1,0
AC025766.1,0
AC008906.2,0
PDZPH1P,0
AC116428.1,0
BCLAF1P1,0
CBX3P3,0
AC010226.1,0
RNU2.49P,0
AC034236.3,0
RPS14P8,0
AC093295.1,0
LINC02208,0
RN7SL174P,0
AC113349.1,0
HMGB3P17,0
AC016556.1,0
AC112196.1,0
AC113398.1,0
LINC02240,0
RNU6.290P,0
HNRNPKP1,0
CTXN3,0
AC113367.3,0
AC008695.2,0
AC063976.2,0
IL13,0
AC004039.1,0
MIR3661,0
UBE2B,0
AC109454.4,0
AC010301.1,0
AC008406.2,0
AC034206.1,0
LECT2,0
SMAD5,0
AC106791.1,0
PKD2L2,0
AC113382.2,0
FAM53C,0
SNORA74A,0
RNA5SP195,0
AC135457.1,0
ECSCR,0
SMIM33,0
UBE2D2,0
PSD2.AS1,0
AC005609.5,0
PCDHA4,0
PCDHA8,0
PCDHB4,0
AC244517.6,0
AC244517.4,0
AC244517.7,0
PCDHGA6,0
PCDHGB4,0
AC005618.2,0
RN7SL68P,0
ARHGAP26.AS1,0
POU4F3,0
RN7SL791P,0
JAKMIP2,0
SPINK1,0
SMIM3,0
AC008641.1,0
AC011337.1,0
GLRA1,0
AC091982.2,0
SAP30L.AS1,0
HNRNPA3P7,0
AC106801.1,0
RNU6.260P,0
LINC01847,0
AC011363.1,0
AC109466.1,0
AC011369.1,0
FBLL1,0
AC011389.2,0
AC091980.2,0
RN7SL339P,0
EFCAB9,0
RF00191.1,0
AC113423.2,0
RNU6.226P,0
PRMT1P1,0
AC136632.2,0
GMCL2,0
AC136601.2,0
RN7SL646P,0
AC113348.3,0
PIGFP1,0
AC104117.3,0
AC008393.1,0
SCGB3A1,0
ZFP62,0
LINC01962,0
CICP18,0
AL031770.1,0
AL391422.1,0
AL138831.3,0
AL359643.2,0
AL021328.1,0
AL139390.1,0
OFCC1,0
GCNT2P1,0
THAP12P5,0
AL137003.1,0
RN7SL128P,0
AL035090.1,0
AL513188.1,0
AL024509.1,0
LINC00240,0
POM121L2,0
HIST1H2BPS2,0
OR1F12,0
ZNF602P,0
AL358933.1,0
ZSCAN31,0
RPL13P,0
OR2J2,0
OR14J1,0
AL645929.3,0
AL662873.1,0
ATAT1,0
RF00019.268,0
HCG20,0
MUC22,0
AL662844.4,0
LTA,0
SAPCD1.AS1,0
C2.AS1,0
TSBP1.AS1,0
HLA.DRB6,0
HCG24,0
RGL2,0
AL662820.1,0
ZBTB9,0
LINC01016,0
AL138889.1,0
RN7SL748P,0
AL079341.1,0
LRFN2,0
AL359475.1,0
UNC5CL,0
NPM1P51,0
AL035587.3,0
AL035587.1,0
AL359813.1,0
AL359813.2,0
AL157371.2,0
AL353588.1,0
RBM22P4,0
RUNX2.AS1,0
ENPP4,0
MEP1A,0
PKHD1,0
RN7SL580P,0
IL17F,0
AL034374.1,0
AL033397.2,0
FAM83B,0
LGSN,0
AL121949.2,0
SCAT8,0
ADGRB3,0
LYPLA1P3,0
LINC01626,0
FO393414.3,0
KCNQ5.AS1,0
OOEP,0
RN7SL827P,0
AL603910.1,0
PHIP,0
AL359715.2,0
AL355613.1,0
PRSS35,0
SNAP91,0
AL161621.1,0
SMIM11P1,0
AL139274.2,0
AL139274.1,0
AL049697.1,0
AL353135.1,0
GABRR2,0
AL132996.1,0
LINC02531,0
FUT9,0
AL589826.2,0
Z86062.1,0
AL357522.1,0
AL357315.2,0
CRYBG1,0
QRSL1,0
C6orf203,0
BEND3,0
RPS24P12,0
AL096816.1,0
RNU6.437P,0
AL139106.1,0
CCDC162P,0
AK9,0
AL603914.1,0
REV3L,0
AL008730.1,0
LINC02527,0
AL365214.2,0
KRT18P65,0
LINC02518,0
FO393415.1,0
AL050331.2,0
GPRC6A,0
RFX6,0
NEPNP,0
AL078600.1,0
SLC25A5P7,0
AL603865.1,0
YWHAZP4,0
RPL21P67,0
AL137783.1,0
AL024497.1,0
ALDH8A1,0
AL023284.3,0
AL121933.1,0
AL391669.1,0
AL121834.1,0
AL049844.1,0
RNU1.33P,0
AL031056.1,0
AL078581.3,0
RF00019.300,0
AL355312.3,0
RAET1L,0
AL450344.1,0
RN7SKP268,0
HSPD1P16,0
AL512658.2,0
AL355297.2,0
LDHAL6FP,0
AL078604.1,0
HNRNPH1P1,0
SLC22A1,0
AL590286.1,0
RPS6KA2.IT1,0
FGFR1OP,0
CCR6,0
TTLL2,0
AL513210.2,0
AL049612.1,0
AL031259.1,0
AC091729.1,0
AC024028.1,0
AC073316.3,0
RBAK,0
AC092171.4,0
ANKRD61,0
AC092104.1,0
AC007161.2,0
AC006042.2,0
NXPH1,0
AC096553.1,0
NPM1P11,0
SCIN,0
DGKB,0
CRPPA.AS1,0
AC005014.2,0
SNX13,0
HOXA3,0
AC005091.1,0
RNU6.979P,0
AC007285.1,0
AC007285.2,0
AC006027.1,0
AC005154.3,0
AC018645.2,0
NPSR1,0
AC087072.2,0
AC007349.3,0
RPS10P14,0
GPR141,0
AC004988.1,0
AC010132.2,0
AC004692.1,0
UBE2D4,0
AC004951.2,0
SNORA5A,0
AC006459.1,0
RPL31P35,0
AC092647.1,0
SNORA22B,0
AC092447.5,0
AC095038.3,0
AC092634.5,0
GABPAP,0
MTCO1P8,0
YWHAEP1,0
BNIP3P42,0
BNIP3P11,0
CCT6P3,0
RSL24D1P3,0
INTS4P2,0
GTF2IP23,0
MTCO1P25,0
GTF2IRD2P1,0
FKBP6,0
ELN,0
RFC2,0
RNA5SP233,0
PMS2P3,0
SNORA14A,0
AC005077.4,0
AC004980.1,0
AC114737.2,0
AC114737.1,0
AC007000.3,0
CCDC146,0
AC006043.1,0
AC006145.1,0
HNRNPA1P8,0
AC004023.1,0
RF00019.331,0
RF02195,0
AC002069.3,0
AC000120.1,0
PON1,0
AC002451.2,0
AC079781.1,0
OR2AE1,0
C7orf61,0
LRCH4,0
RN7SL750P,0
RNU6.1104P,0
AC005086.3,0
AC005086.2,0
RASA4B,0
AC005070.3,0
SRPK2,0
AC073073.1,0
AC005050.1,0
AC005046.1,0
TMEM168,0
AC002543.1,0
ST7.AS2,0
AC000061.1,0
AC092098.1,0
ING3,0
PNPT1P2,0
RNF133,0
AC019155.3,0
AC002057.2,0
AC000099.1,0
SND1.IT1,0
AC010655.1,0
AC018638.1,0
AC025594.2,0
AC011005.4,0
SSMEM1,0
AC234644.1,0
AC016831.6,0
MKLN1,0
AC093106.1,0
AC018643.1,0
AC009365.1,0
AKR1B10,0
BPGM,0
AC009276.1,0
NUP205,0
RNU6.223P,0
AC005531.1,0
AC073878.1,0
AC004918.1,0
OR2A12,0
PPIAP83,0
AC006004.1,0
AC005518.1,0
AC005229.1,0
AC006008.1,0
GIMAP2,0
KCNH2,0
SLC4A2,0
RF00017.56,0
YBX1P4,0
CCT8L1P,0
AC006348.1,0
AC112656.1,0
AC073583.1,0
AC004554.2,0
TLR7,0
ASB9,0
RPL6P30,0
RPL12P49,0
GJA6P,0
EIF1AX.AS1,0
AL807742.1,0
AC073614.1,0
PIGFP3,0
TAB3.AS1,0
RPS15AP40,0
XK,0
AL121578.1,0
CASK.AS1,0
GPR34,0
PCNAP3,0
KRBOX4,0
RNU6.50P,0
RF00017.59,0
SLC9A7,0
NPM1P49,0
AC244636.3,0
AF196969.1,0
RN7SL262P,0
PAGE1,0
MAGED4B,0
MAGED4,0
RBM22P6,0
RPL7AP71,0
ITIH6,0
AL391419.1,0
SPIN3,0
AL139397.2,0
ZFRP1,0
HNRNPDP1,0
AL356317.1,0
CCT4P2,0
PKMP2,0
DLG3,0
AL590763.1,0
CXCR3,0
RPS26P11,0
BX295541.1,0
JPX,0
AL353804.2,0
RF02123,0
PBDC1,0
FABP5P15,0
ITM2A,0
AL512504.2,0
POU3F4,0
Z83820.1,0
STIP1P3,0
AL136363.2,0
VDAC1P3,0
AL022151.1,0
XRCC6P5,0
HNRNPA1P26,0
HNRNPA1P27,0
AL672207.1,0
ZMAT1,0
GPRASP1,0
MTND2P2,0
MTCO1P19,0
MTATP6P19,0
MTND6P32,0
AC234782.1,0
AC234783.1,0
RF00019.377,0
AMMECR1.IT1,0
FCF1P4,0
SERTM2,0
AL589880.1,0
RN7SL93P,0
CT83,0
HNRNPA1P28,0
SNORA69,0
ATP1B4,0
AC006144.1,0
GLUD2,0
FERP1,0
ZIK1P1,0
AL022162.1,0
GPC3.AS1,0
RPL21P133,0
LINC00892,0
RANP4,0
RF00019.388,0
GPR101,0
RAC1P4,0
SRD5A1P1,0
RF00425.4,0
SOX3,0
AC234779.1,0
BX322650.1,0
GPR50,0
KC877982.1,0
AVPR2,0
VAMP7,0
AC100797.1,0
AC026950.2,0
AF067845.2,0
AC246817.1,0
AC010941.1,0
SNRPCP6,0
SPAG11B,0
ALG1L13P,0
AC034111.2,0
MSRA,0
AC104964.5,0
C8orf49,0
DEFB131E,0
DEFB109D,0
AC011586.1,0
AP006248.5,0
AP006248.3,0
AP006248.4,0
AC100800.1,0
RPL35P6,0
LZTS1.AS1,0
AC103719.1,0
AC105206.3,0
AC105206.2,0
AC087854.2,0
AC012574.2,0
AC107373.3,0
AC091185.1,0
ADRA1A,0
AC131254.2,0
PURG,0
NRG1.IT3,0
MAK16,0
AF279873.3,0
AC144573.1,0
AC084024.4,0
LETM2,0
AC069120.1,0
AC007991.3,0
AC009630.1,0
AC103724.4,0
SLC20A2,0
RNU1.124P,0
AC120036.5,0
RNU6.665P,0
RF00019.394,0
RNU6.519P,0
AC041040.1,0
AC013701.2,0
NPBWR1,0
AC027250.2,0
RN7SL250P,0
LINC00968,0
AC092819.3,0
AC105150.1,0
AC021393.1,0
IFITM8P,0
AC018953.2,0
DNAJC5B,0
VCPIP1,0
PPP1R42,0
LINC01592,0
SDCBPP2,0
PRXL2AP2,0
RDH10.AS1,0
STAU2.AS1,0
STAU2,0
RN7SL760P,0
ZFHX4.AS1,0
AC068700.1,0
AC016240.1,0
HEY1,0
AC036214.4,0
AC036214.3,0
AC012533.1,0
FABP4,0
IMPA1P1,0
AC060765.2,0
AC011773.1,0
ATP6V0D2,0
AF121898.1,0
RNU6.925P,0
AC103770.1,0
AC117834.2,0
RBM12B,0
AC010834.1,0
AC023632.2,0
AP003692.1,0
MIR3150BHG,0
AC083836.1,0
AP003117.1,0
AC016877.1,0
AP004290.1,0
AC018442.1,0
AC105328.1,0
AC027373.1,0
ATP6V1C1,0
BAALC.AS2,0
AC012213.1,0
AP003471.1,0
ZFPM2.AS1,0
AC087620.1,0
RPS26P35,0
RNU6.12P,0
RN7SKP153,0
TAF2,0
RN7SL396P,0
IMPDH1P6,0
TMEM65,0
AC009908.1,0
RNU6.869P,0
PRNCR1,0
AC104370.1,0
TMEM75,0
AC131568.1,0
AC009682.1,0
AC105180.1,0
AC040978.1,0
